team,season,conference,flag
Virginia,2019,ACC,
Virginia,2020,ACC,
Virginia,2021,ACC,
Virginia,2022,ACC,
Virginia,2023,ACC,
Virginia,2024,ACC,
Virginia,2025,ACC,
Virginia Tech,2014,ACC,
Virginia Tech,2015,ACC,
Virginia Tech,2016,ACC,
Virginia Tech,2017,ACC,
Virginia Tech,2018,ACC,
Virginia Tech,2019,ACC,
Virginia Tech,2020,ACC,
Virginia Tech,2021,ACC,
Virginia Tech,2022,ACC,
Virginia Tech,2023,ACC,
Virginia Tech,2024,ACC,
Virginia Tech,2025,ACC,
Wake Forest,2014,ACC,
Wake Forest,2015,ACC,
Wake Forest,2016,ACC,
Wake Forest,2017,ACC,
Wake Forest,2018,ACC,
Wake Forest,2019,ACC,
Wake Forest,2020,ACC,
Wake Forest,2021,ACC,
Wake Forest,2022,ACC,
Wake Forest,2023,ACC,
Wake Forest,2024,ACC,
Wake Forest,2025,ACC,
Washington,2014,Pac-12,
Washington,2015,Pac-12,
Washington,2016,Pac-12,
Washington,2017,Pac-12,
Washington,2018,Pac-12,
Washington,2019,Pac-12,
Washington,2020,Pac-12,
Washington,2021,Pac-12,
Washington,2022,Pac-12,
Washington,2023,Pac-12,
Washington,2024,Big Ten,
Washington,2025,Big Ten,
Washington State,2014,Pac-12,
Washington State,2015,Pac-12,
Washington State,2016,Pac-12,
Washington State,2017,Pac-12,
Washington State,2018,Pac-12,
Washington State,2019,Pac-12,
Washington State,2020,Pac-12,
Washington State,2021,Pac-12,
Washington State,2022,Pac-12,
Washington State,2023,Pac-12,
Washington State,2024,Pac-12,Pac-12 reduced to 2 members 2024-25 -- confirm how you want this labeled
Washington State,2025,Pac-12,Pac-12 reduced to 2 members 2024-25 -- confirm how you want this labeled
West Virginia,2014,Big 12,
West Virginia,2015,Big 12,
West Virginia,2016,Big 12,
West Virginia,2017,Big 12,
West Virginia,2018,Big 12,
West Virginia,2019,Big 12,
West Virginia,2020,Big 12,
West Virginia,2021,Big 12,
West Virginia,2022,Big 12,
West Virginia,2023,Big 12,
West Virginia,2024,Big 12,
West Virginia,2025,Big 12,
Western Kentucky,2014,Conference USA,
Western Kentucky,2015,Conference USA,
Western Kentucky,2016,Conference USA,
Western Kentucky,2017,Conference USA,
Western Kentucky,2018,Conference USA,
Western Kentucky,2019,Conference USA,
Western Kentucky,2020,Conference USA,
Western Kentucky,2021,Conference USA,
Western Kentucky,2022,Conference USA,
Western Kentucky,2023,Conference USA,
Western Kentucky,2024,Conference USA,
Western Kentucky,2025,Conference USA,
Western Michigan,2014,MAC,
Western Michigan,2015,MAC,
Western Michigan,2016,MAC,
Western Michigan,2017,MAC,
Western Michigan,2018,MAC,
Western Michigan,2019,MAC,
Western Michigan,2020,MAC,
Western Michigan,2021,MAC,
Western Michigan,2022,MAC,
Western Michigan,2023,MAC,
Western Michigan,2024,MAC,
Western Michigan,2025,MAC,
Wisconsin,2014,Big Ten,
Wisconsin,2015,Big Ten,
Wisconsin,2016,Big Ten,
Wisconsin,2017,Big Ten,
Wisconsin,2018,Big Ten,
Wisconsin,2019,Big Ten,
Wisconsin,2020,Big Ten,
Wisconsin,2021,Big Ten,
Wisconsin,2022,Big Ten,
Wisconsin,2023,Big Ten,
Wisconsin,2024,Big Ten,
Wisconsin,2025,Big Ten,
